system_id,pdb1,pdb2,RMSD,TM-score
P03047,7UBJ_A,7UBL_A,8.226466,0.6273816824618049
A0A0H3AFX3,6PWJ_A,6PWK_A,16.317802,0.636333131719301
B0F0C5,6PQN_A,6PQX_A,7.8037233,0.6424727278946532
P67701,6JQ4_A,6KML_B,6.4595695,0.5119675479255469
Q83VS8,7E8R_A,7EDB_A,8.195991,0.6128255967135426
P0A8W0,6ON4_A,6WFQ_A,9.59872,0.5704619087119035
P28366,1M74_A,1TF2_A,10.26643,0.8013569964863475
Q5F9M1,3ZSF_A,2YLN_A,5.7644053,0.6906025305481267
Q18A65,6HNK_A,6HNI_A,4.284446,0.7911904732774687
A2RJ53,3FTO_A,3DRF_A,5.049767,0.74873
A0A075Q0W3,6MKA_A,6MKJ_A,7.428443,0.775285118239277
P0205,1URP_A,2DRI_A,4.051486,0.7690231267551378
P37487,1K23_C,1WPM_B,9.918028,0.66163
P06766,1BPD_A,2BPG_E,10.320264,0.7030021335810581
P02911,6ML0_A,6MLP_A,5.045497,0.6986655546119069
P69441,1AKE_A,4AKE_A,7.154453,0.6818405050416984
P24182,1DV1_A,1DV2_A,3.815482,0.9173512757136015
P0AEQ3,1WDN_A,1GGG_A,5.321391,0.6659909867650053
P23847,1DPE_A,1DPP_A,6.5307236,0.7090904954749225
P0DP23,1CLL_A,5GGM_A,14.345888,0.48479045352349953
P33284,3O80_A,3O8M_A,3.9110112,0.8653812068512922
P71447,2WFA_A,2WF5_A,3.421548,0.8093456345126829
O76728,4BP8_A,4BP9_A,4.98384,0.8224687662216286
P00558,2XE6_A,2WZD_A,3.8439057,0.7970155592061627
P40131,3TEE_A,3VJP_A,10.812265,0.6243976836511617
Q7DAU8,3L6G_A,3L6H_A,3.5388968,0.767121406049302
P21589,7QGA_A,4H2I_A,10.9864,0.684801421610313
A0QTT2,7CY2_A,7CYR_A,3.9790292,0.8744614817917469
Q9X6R4,3IUJ_A,3IUQ_A,3.6414669,0.8780853615607424
Q9ERE7,2RQM_A,2RQK_A,22.76119,0.5195089351204507
P62495,2KTV_A,2KTU_A,8.446167,0.7769847370998932
Q9Z4N6,1SI1_A,1SI0_A,2.7009141,0.8784030549007641
A6UVT1,6HAC_A,6HAE_A,4.156426,0.8253882438712681
B7IE18,6NC7_A,6NC6_A,3.2763445,0.8951829632637583
B3EYN2,5HO2_A,5HO0_A,3.735733,0.9041401351724824
Q53W80,7C63_A,7C66_A,2.0916333,0.9306054857123299
Q9SS90,6K8B_A,6K85_B,3.3691974,0.9102397759540496
Q9X9P9,2OLO_A,2OLN_A,1.7490504,0.9276895544902789
